Date, Open, High, Low, Close
1/2/1985,1009.05,1009.05,1009.05,1009.05
1/3/1985,1005.03,1005.03,1005.03,1005.03
1/4/1985,1000.27,1000.27,1000.27,1000.27
1/7/1985,1003.34,1003.34,1003.34,1003.34
1/8/1985,1002.5,1002.5,1002.5,1002.5
1/9/1985,1009.16,1009.16,1009.16,1009.16
1/10/1985,1027.03,1027.03,1027.03,1027.03
1/11/1985,1025.44,1025.44,1025.44,1025.44
1/14/1985,1040.24,1040.24,1040.24,1040.24
1/15/1985,1042.46,1042.46,1042.46,1042.46
1/16/1985,1045.74,1045.74,1045.74,1045.74
1/17/1985,1044.16,1044.16,1044.16,1044.16
1/18/1985,1047.22,1047.22,1047.22,1047.22
1/21/1985,1069.22,1069.22,1069.22,1069.22
1/22/1985,1070.91,1070.91,1070.91,1070.91
1/23/1985,1081.38,1081.38,1081.38,1081.38
1/24/1985,1078.84,1078.84,1078.84,1078.84
1/25/1985,1082.96,1082.96,1082.96,1082.96
1/28/1985,1084.12,1084.12,1084.12,1084.12
1/29/1985,1093.64,1093.64,1093.64,1093.64
1/30/1985,1095.97,1095.97,1095.97,1095.97
1/31/1985,1097.02,1097.02,1097.02,1097.02
2/1/1985,1091.53,1091.53,1091.53,1091.53
2/4/1985,1101.36,1101.36,1101.36,1101.36
2/5/1985,1104.11,1104.11,1104.11,1104.11
2/6/1985,1103.9,1103.9,1103.9,1103.9
2/7/1985,1112.14,1112.14,1112.14,1112.14
2/8/1985,1114.37,1114.37,1114.37,1114.37
2/11/1985,1104.95,1104.95,1104.95,1104.95
2/12/1985,1105.7,1105.7,1105.7,1105.7
2/13/1985,1121.66,1121.66,1121.66,1121.66
2/14/1985,1117.64,1117.64,1117.64,1117.64
2/15/1985,1113.1,1113.1,1113.1,1113.1
2/19/1985,1111.51,1111.51,1111.51,1111.51
2/20/1985,1111.4,1111.4,1111.4,1111.4
2/21/1985,1105.06,1105.06,1105.06,1105.06
2/22/1985,1099.77,1099.77,1099.77,1099.77
2/25/1985,1097.76,1097.76,1097.76,1097.76
2/26/1985,1108.34,1108.34,1108.34,1108.34
2/27/1985,1106.65,1106.65,1106.65,1106.65
2/28/1985,1109.5,1109.5,1109.5,1109.5
3/1/1985,1121.24,1121.24,1121.24,1121.24
3/4/1985,1114.79,1114.79,1114.79,1114.79
3/5/1985,1115.21,1115.21,1115.21,1115.21
3/6/1985,1106.44,1106.44,1106.44,1106.44
3/7/1985,1100.41,1100.41,1100.41,1100.41
3/8/1985,1097.76,1097.76,1097.76,1097.76
3/11/1985,1095.33,1095.33,1095.33,1095.33
3/12/1985,1099.99,1099.99,1099.99,1099.99
3/13/1985,1091.63,1091.63,1091.63,1091.63
3/14/1985,1090.26,1090.26,1090.26,1090.26
